"""Preliminär Huvudbok""";;;;;;;;
Samis Jackets AB;;;;;;;;
559489-5301;;;;;;;;
"""Utskriftsdatum"": den 6 January 2026 18:53:59";;;;;;;;
;;;;;;;;
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31";;;;;;;;
"""Avser perioden"" 2024-07-01 - 2025-12-31";;;;;;;;
;;;;;;;;
;;;;;;;;
"""Konto""";"""Verifikation""";"""Datum""";"""Beskrivning""";"""Momskod""";"""Moms""";"""Debet""";"""Kredit""";"""Saldo"""
1220 Inventarier och verktyg;;;;;;;;
;A 812;2025-11-28;Overforing till Marginalen SEK 39934.97 SEK;;;39 923,51;;268 915,04
;A 902;2025-11-28;Shopify Sales Wise inbetalning;;;39 934,97;;308 850,01
;A 903;2025-12-01;Manadsavgift Foretagskonto dec;;;;70,00;308 780,01
;A 904;2025-12-01;Worldline deposit B11298957172;;;21 737,55;;330 517,56
;A 905;2025-12-01;Worldline deposit B12019008327;;;7,49;;330 525,05
;A 906;2025-12-01;Worldline deposit B11308985634;;;8 006,70;;338 531,75
;A 907;2025-12-02;Worldline deposit B12029026954;;;4 400,82;;342 932,57
;A 908;2025-12-03;Worldline deposit B12039050289;;;1 617,86;;344 550,43
;A 909;2025-12-04;China invoice payment till Wise;;;;297 000,00;47 550,43
;A 910;2025-12-08;Worldline deposit B12069136385;;;10 857,31;;58 407,74
;A 911;2025-12-08;Worldline deposit B12089184747;;;4 611,77;;63 019,51
;A 912;2025-12-09;Wise transfer 55250500;;;;15 546,00;47 473,51
;A 913;2025-12-09;Worldline deposit B12099203466;;;1 710,39;;49 183,90
;A 914;2025-12-10;Worldline deposit B12109227020;;;2 889,45;;52 073,35
;A 915;2025-12-11;Worldline deposit B12119255696;;;2 136,02;;54 209,37
;A 916;2025-12-12;Worldline deposit B12129284073;;;5 373,35;;59 582,72
;A 917;2025-12-15;Frakt 50516822;;;;2 915,00;56 667,72
;A 918;2025-12-15;Frakt DB Schenker 9423047;;;;127,00;56 540,72
;A 919;2025-12-15;Frakt DB Schenker 9423047;;;;237,00;56 303,72
;A 920;2025-12-15;Frakt DB Schenker 9423047;;;;988,00;55 315,72
;A 921;2025-12-15;Frakt DB Schenker 9423047;;;;3 113,00;52 202,72
;A 922;2025-12-15;Frakt DB Schenker 9423047;;;;145,00;52 057,72
;A 923;2025-12-15;Frakt PostNord 52494309;;;;389,00;51 668,72
;A 925;2025-12-15;Plusgiro betalning 47704044;;;;248,00;51 420,72
;A 926;2025-12-15;Worldline deposit B12159361494;;;4 866,82;;56 287,54
;A 927;2025-12-17;Frakt DB Schenker 9423047;;;;119,00;56 168,54
;A 928;2025-12-17;Frakt DB Schenker 9423047;;;;76,80;56 091,74
;A 929;2025-12-17;Worldline deposit B12179405561;;;4 422,83;;60 514,57
;A 930;2025-12-19;Worldline deposit B12199460221;;;6 409,08;;66 923,65
;A 931;2025-12-22;Svea Ekonomi kortterminal;;;;248,00;66 675,65
;A 932;2025-12-22;Worldline deposit B12219518994;;;8 512,45;;75 188,10
;A 933;2025-12-29;Frakt DB Schenker 9423047;;;;249,38;74 938,72
;A 934;2025-12-29;Frakt DB Schenker 9423047;;;;105,00;74 833,72
;A 935;2025-12-29;Worldline deposit B12269613247;;;6 894,90;;81 728,62
;A 936;2025-12-29;Worldline deposit B12299649730;;;3 644,67;;85 373,29
;A 937;2025-12-29;Worldline deposit B12249582328;;;4 899,72;;90 273,01
;A 938;2025-12-30;Worldline deposit B12309664541;;;137,10;;90 410,11
;A 939;2025-12-31;Ranta Marginalen;;;122,38;;90 532,49
;A 940;2025-12-31;Ranta Marginalen;;;0,23;;90 532,72
;;;"""Utgående saldo:""";;0,00;1 384 386,21;1 293 853,49;90 532,72
;;;;;;;;
1940 Övriga bankkonton;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 319;2024-12-05;Wallet2Wallet Transfer - Samis Jackets - Sent from Viva.com;;;8 500,00;;8 500,00
;A 306;2024-12-21;Wallet2Wallet Transfer - Samis Jackets - Sent from Viva.com;;;14 000,00;;22 500,00
;A 340;2024-12-30;Viva Wallet - Money out to IBAN fee;;;;6,00;22 494,00
;A 341;2024-12-30;Money out to IBAN - SE7680000890116948003766 - 1088488505 - Hyra med moms;;;;20 566,00;1 928,00
;A 277;2025-01-16;Wallet2Wallet Transfer - Samis Jackets - Sent from Viva.com;;;;1 928,00;0,00
;A 779;2025-10-06;SEK till TRY 12486 SEK kurs 4.43116;;;12 432,54;;12 432,54
;A 780;2025-10-06;EUR till TRY 124.81 EUR kurs 48.6857;;;1 430,21;;13 862,75
;A 781;2025-10-06;Loan repayment TRY 61066.41 TRY;;;;61 066,41;-47 203,66
;;;"""Utgående saldo:""";;0,00;36 362,75;83 566,41;-47 203,66
;;;;;;;;
1941 Annat bankkonto viva.com;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 339;2024-11-11;Sales Clearance Commission Cards;;;;17,00;-17,00
;A 338;2024-11-14;Sales Clearance Commission Cards;;;;32,00;-49,00
;A 337;2024-11-15;Sales Clearance Commission Cards;;;;34,00;-83,00
;A 336;2024-11-17;Sales Clearance Commission Cards;;;;32,00;-115,00
;A 335;2024-11-18;Sales Clearance Commission Cards;;;;30,00;-145,00
;A 334;2024-11-22;Sales Clearance Commission Cards;;;;34,00;-179,00
;A 332;2024-11-23;Sales Clearance Commission Cards;;;;29,00;-208,00
;A 333;2024-11-23;Sales Clearance Commission Cards;;;;3,00;-211,00
;A 329;2024-11-26;Sales Clearance Commission Cards;;;;17,00;-228,00
;A 330;2024-11-26;Sales Clearance Commission Cards;;;;32,00;-260,00
;A 331;2024-11-26;Sales Clearance Commission Cards;;;;19,00;-279,00
;A 327;2024-11-27;Sales Clearance Commission Cards;;;;26,00;-305,00
;A 328;2024-11-27;Sales Clearance Commission Cards;;;;30,00;-335,00
;A 325;2024-11-29;Sales Clearance Commission Cards;;;;17,00;-352,00
;A 326;2024-11-29;Sales Clearance Commission Cards;;;;26,00;-378,00
;A 324;2024-11-30;Billing Fee - Account Default Plan (2024-10-31 - 2024-11-29);;;;58,00;-436,00
;A 323;2024-12-02;Sales Clearance Commission Cards;;;;3,00;-439,00
;A 95;2024-12-04;flygbiljett;;;;9 945,82;-10 384,82
;A 320;2024-12-04;Sales Clearance Commission Cards;;;;32,00;-10 416,82
;A 321;2024-12-04;Viva Wallet Card Purchase - mytrip_1045449237;;;;9 945,00;-20 361,82
;A 322;2024-12-04;Sales Clearance Commission Cards;;;;32,00;-20 393,82
;A 96;2024-12-05;Viva bankavgift retur;;;45,83;;-20 347,99
;A 97;2024-12-05;BANKKOSTNADER;;;;298,37;-20 646,36
;A 317;2024-12-05;Billing Fee - Foreign Currency Fee for Transaction Amount 900.49 USD (2024-12-04);;;;298,00;-20 944,36
;A 318;2024-12-05;Viva Cashback;;;45,00;;-20 899,36
;A 319;2024-12-05;Wallet2Wallet Transfer - Samis Jackets - Sent from Viva.com;;;;8 500,00;-29 399,36
;A 316;2024-12-06;Sales Clearance Commission Cards;;;;46,00;-29 445,36
;A 315;2024-12-07;Sales Clearance Commission Cards;;;;23,00;-29 468,36
;A 313;2024-12-11;Sales Clearance Commission Cards;;;;32,00;-29 500,36
;A 314;2024-12-11;Sales Clearance Commission Cards;;;;23,00;-29 523,36
;A 312;2024-12-13;Sales Clearance Commission Cards;;;;32,00;-29 555,36
;A 311;2024-12-14;Sales Clearance Commission Cards;;;;28,00;-29 583,36
;A 310;2024-12-16;Sales Clearance Commission Cards;;;;5,00;-29 588,36
;A 307;2024-12-20;Sales Clearance Commission Cards;;;;17,00;-29 605,36
;A 308;2024-12-20;Sales Clearance Commission Cards;;;;17,00;-29 622,36
;A 309;2024-12-20;Sales Clearance Commission Cards;;;;17,00;-29 639,36
;A 305;2024-12-21;Sales Clearance Commission Cards;;;;28,00;-29 667,36
;A 306;2024-12-21;Wallet2Wallet Transfer - Samis Jackets - Sent from Viva.com;;;;14 000,00;-43 667,36
;A 98;2024-12-22;Viva bankavgift retur;;;0,81;;-43 666,55
;A 300;2024-12-23;Sales Clearance Commission Cards;;;;23,00;-43 689,55
;A 301;2024-12-23;Sales Clearance Commission Cards;;;;46,00;-43 735,55
;A 302;2024-12-23;Sales Clearance Commission Cards;;;;32,00;-43 767,55
;A 303;2024-12-23;Sales Clearance Commission Cards;;;;8,00;-43 775,55
;A 304;2024-12-23;Sales Clearance Commission Cards;;;;8,00;-43 783,55
;A 299;2024-12-26;Sales Clearance Commission Cards;;;;14,00;-43 797,55
;A 298;2024-12-27;Sales Clearance Commission Cards;;;;7,00;-43 804,55
;A 296;2024-12-28;Sales Clearance Commission Cards;;;;24,00;-43 828,55
;A 297;2024-12-28;Sales Clearance Commission Cards;;;;37,00;-43 865,55
;A 294;2024-12-30;Sales Clearance Commission Cards;;;;14,00;-43 879,55
;A 295;2024-12-30;Sales Clearance Commission Cards;;;;37,00;-43 916,55
;A 99;2024-12-31;banktjnster avgift;;;;58,00;-43 974,55
;A 292;2024-12-31;Billing Fee - Account Default Plan (2024-11-30 - 2024-12-30);;;;58,00;-44 032,55
;A 293;2024-12-31;Sales Clearance Commission Cards;;;;14,00;-44 046,55
;A 290;2025-01-02;Sales Clearance Commission Cards;;;;14,00;-44 060,55
;A 291;2025-01-02;Sales Clearance Commission Cards;;;;12,00;-44 072,55
;A 288;2025-01-06;Sales Clearance Commission Cards;;;;43,00;-44 115,55
;A 289;2025-01-06;Sales Clearance Commission Cards;;;;46,00;-44 161,55
;A 285;2025-01-07;Sales Clearance Commission Cards;;;;32,00;-44 193,55
;A 286;2025-01-07;Sales Clearance Commission Cards;;;;35,00;-44 228,55
;A 287;2025-01-07;Sales Clearance Commission Cards;;;;17,00;-44 245,55
;A 284;2025-01-09;Money out to IBAN - SE2150000000057461042734 - ZSE104000077549;;;;12 000,00;-56 245,55
;A 283;2025-01-10;Sales Clearance Commission Cards;;;;30,00;-56 275,55
;A 282;2025-01-11;Viva Wallet Card Purchase - BOLAGSVERKET;;;;1 400,00;-57 675,55
;A 281;2025-01-12;Viva Cashback;;;6,00;;-57 669,55
;A 280;2025-01-13;Sales Clearance Commission Cards;;;;22,00;-57 691,55
;A 279;2025-01-14;Sales Clearance Commission Cards;;;;23,00;-57 714,55
;A 278;2025-01-15;Sales Clearance Commission Cards;;;;20,00;-57 734,55
;A 276;2025-01-16;Sales Clearance Commission Cards;;;;13,00;-57 747,55
;A 277;2025-01-16;Wallet2Wallet Transfer - Samis Jackets - Sent from Viva.com;;;1 928,00;;-55 819,55
;A 275;2025-01-17;Sales Clearance Commission Cards;;;;11,00;-55 830,55
;A 273;2025-01-19;Sales Clearance Commission Cards;;;;11,00;-55 841,55
;A 274;2025-01-19;Sales Clearance Commission Cards;;;;25,00;-55 866,55
;A 257;2025-01-20;Sales Clearance Commission Cards;;;;11,00;-55 877,55
;A 258;2025-01-20;Viva Wallet Card Purchase - FACEBK *4SMPEFYP52;;;;50,00;-55 927,55
;A 259;2025-01-20;Viva Wallet Card Purchase - FACEBK *9R5X8G8Q52;;;;22,00;-55 949,55
;A 260;2025-01-20;Viva Wallet Card Purchase - FACEBK *73Q8KHUQ52;;;;18,00;-55 967,55
;A 261;2025-01-20;Viva Wallet Card Purchase - FACEBK *26JAVGGQ52;;;;22,00;-55 989,55
;A 262;2025-01-20;Viva Wallet Card Purchase - FACEBK *Y3Y8EFYP52;;;;22,00;-56 011,55
;A 263;2025-01-20;Viva Wallet Card Purchase - FACEBK *XV4LEFYP52;;;;15,00;-56 026,55
;A 264;2025-01-20;Viva Wallet Card Purchase - FACEBK *SZTWUGGQ52;;;;21,00;-56 047,55
;A 265;2025-01-20;Viva Wallet Card Purchase - FACEBK *GY53QFUP52;;;;22,00;-56 069,55
;A 266;2025-01-20;Viva Wallet Card Purchase - FACEBK *F95NHGQQ52;;;;22,00;-56 091,55
;A 267;2025-01-20;Viva Wallet Card Purchase - FACEBK *AE7DEFYP52;;;;22,00;-56 113,55
;A 268;2025-01-20;Viva Wallet Card Purchase - FACEBK *8RHZBG4Q52;;;;33,00;-56 146,55
;A 269;2025-01-20;Viva Wallet Card Purchase - FACEBK *Z2VMEFYP52;;;;33,00;-56 179,55
;A 270;2025-01-20;Viva Wallet Card Purchase - FACEBK *ZHKQEFYP52;;;;19,00;-56 198,55
;A 271;2025-01-20;Sales Clearance Commission Cards;;;;13,00;-56 211,55
;A 272;2025-01-20;Sales Clearance Commission Cards;;;;13,00;-56 224,55
;A 251;2025-01-21;Viva Wallet Card Purchase - FACEBK *E4QVEFYP52;;;;50,00;-56 274,55
;A 252;2025-01-21;Viva Wallet Card Purchase - FACEBK *PBLRLFLQ52;;;;50,00;-56 324,55
;A 253;2025-01-21;Viva Wallet Card Purchase - FACEBK *NDBXCG4Q52;;;;27,00;-56 351,55
;A 254;2025-01-21;Viva Cashback;;;1,00;;-56 350,55
;A 255;2025-01-21;Sales Clearance Commission Cards;;;;16,00;-56 366,55
;A 256;2025-01-21;Sales Clearance Commission Cards;;;;25,00;-56 391,55
;A 250;2025-01-22;Viva Wallet Card Purchase - WILLYS ESKILSTUNA C;;;;708,00;-57 099,55
;A 248;2025-01-23;Viva Wallet Card Refund - BOLAGSVERKET;;;1 400,00;;-55 699,55
;A 249;2025-01-23;Viva Cashback;;;3,00;;-55 696,55
;A 244;2025-01-24;Sales Clearance Commission Cards;;;;69,00;-55 765,55
;A 245;2025-01-24;Sales Clearance Commission Cards;;;;30,00;-55 795,55
;A 246;2025-01-24;Sales Clearance Commission Cards;;;;42,00;-55 837,55
;A 247;2025-01-24;Sales Clearance Commission Cards;;;;12,00;-55 849,55
;A 242;2025-01-25;Viva Wallet Card Purchase - ARAN FOOD AB;;;;1 099,00;-56 948,55
;A 243;2025-01-25;Viva Wallet Card Purchase - FACEBK *F9GBGG8Q52;;;;16,00;-56 964,55
;A 241;2025-01-26;Sales Clearance Commission Cards;;;;5,00;-56 969,55
;A 237;2025-01-27;Sales Clearance Commission Cards;;;;3,00;-56 972,55
;A 238;2025-01-27;Sales Clearance Commission Cards;;;;75,00;-57 047,55
;A 239;2025-01-27;Sales Clearance Commission Cards;;;;15,00;-57 062,55
;A 240;2025-01-27;Sales Clearance Commission Cards;;;;13,00;-57 075,55
;A 231;2025-01-28;Sales Clearance Commission Cards;;;;17,00;-57 092,55
;A 232;2025-01-28;Viva Wallet Card Purchase - CHILIMOBIL.SE;;;;624,00;-57 716,55
;A 233;2025-01-28;Sales Clearance Commission Cards;;;;13,00;-57 729,55
;A 234;2025-01-28;Repayment of Director's Loan  bil ;;;;12 000,00;-69 729,55
;A 235;2025-01-28;Money out to IBAN - SE7680000890116948003766 - 1088488604 - Hyra med moms;;;;20 566,00;-90 295,55
;A 236;2025-01-28;Money out to IBAN - SE7680000890116948003766 - 1088975006 - Hyra med moms;;;;1 896,00;-92 191,55
;A 229;2025-01-29;Viva Cashback;;;1,00;;-92 190,55
;A 230;2025-01-29;Sales Clearance Commission Cards;;;;45,00;-92 235,55
;A 228;2025-01-30;Viva Wallet Card Purchase - Temu.com;;;;1 750,00;-93 985,55
;A 223;2025-01-31;Billing Fee - Account Default Plan (2024-12-31 - 2025-01-30);;;;58,00;-94 043,55
;A 224;2025-01-31;Sales Clearance Commission Cards;;;;22,00;-94 065,55
;A 225;2025-01-31;Viva Wallet Card Purchase - Temu.com;;;;283,00;-94 348,55
;A 226;2025-01-31;Viva Cashback;;;7,00;;-94 341,55
;A 227;2025-01-31;Sales Clearance Commission Cards;;;;7,00;-94 348,55
;A 220;2025-02-01;Sales Clearance Commission Cards;;;;13,00;-94 361,55
;A 221;2025-02-01;Sales Clearance Commission Cards;;;;16,00;-94 377,55
;A 222;2025-02-01;Viva Cashback;;;1,00;;-94 376,55
;A 219;2025-02-02;Sales Clearance Commission Cards;;;;25,00;-94 401,55
;A 216;2025-02-03;Sales Clearance Commission Cards;;;;3,00;-94 404,55
;A 217;2025-02-03;Sales Clearance Commission Cards;;;;42,00;-94 446,55
;A 218;2025-02-03;Sales Clearance Commission Cards;;;;8,00;-94 454,55
;A 212;2025-02-04;Sales Clearance Commission Cards;;;;8,00;-94 462,55
;A 213;2025-02-04;Viva Wallet Card Purchase - Freightseeker AB;;;;86,00;-94 548,55
;A 214;2025-02-04;Viva Wallet Card Purchase - Freightseeker AB;;;;98,00;-94 646,55
;A 215;2025-02-04;Sales Clearance Commission Cards;;;;3,00;-94 649,55
;A 210;2025-02-05;Viva Wallet Card Purchase - Freightseeker AB;;;;90,00;-94 739,55
;A 211;2025-02-05;Sales Clearance Commission Cards;;;;11,00;-94 750,55
;A 208;2025-02-06;Viva Wallet Card Refund - CLAS OHLSON;;;199,00;;-94 551,55
;A 209;2025-02-06;Viva Wallet Card Purchase - CLAS OHLSON;;;;618,00;-95 169,55
;A 206;2025-02-07;Viva Cashback;;;1,00;;-95 168,55
;A 207;2025-02-07;Sales Clearance Commission Cards;;;;16,00;-95 184,55
;A 203;2025-02-08;Viva Wallet Card Purchase - TikTok Ads;;;;728,00;-95 912,55
;A 204;2025-02-08;Viva Wallet Card Purchase - Freightseeker AB;;;;131,00;-96 043,55
;A 205;2025-02-08;Viva Wallet Card Purchase - WILLYS ESKILSTUNA C;;;;1 253,00;-97 296,55
;A 200;2025-02-09;Viva Wallet Card Purchase - ARAN FOOD AB;;;;2 597,00;-99 893,55
;A 201;2025-02-09;Viva Cashback;;;9,00;;-99 884,55
;A 202;2025-02-09;Sales Clearance Commission Cards;;;;20,00;-99 904,55
;A 197;2025-02-10;Viva Wallet Card Purchase - TikTok Ads;;;;728,00;-100 632,55
;A 198;2025-02-10;Viva Wallet Card Purchase - FACEBK *3L4QAGYC72;;;;417,00;-101 049,55
;A 199;2025-02-10;Viva Cashback;;;11,00;;-101 038,55
;A 196;2025-02-11;Viva Cashback;;;5,00;;-101 033,55
;A 194;2025-02-12;Viva Wallet Card Purchase - Freightseeker AB;;;;86,00;-101 119,55
;A 195;2025-02-12;Viva Wallet Card Purchase - Freightseeker AB;;;;157,00;-101 276,55
;A 193;2025-02-13;Viva Cashback;;;1,00;;-101 275,55
;A 192;2025-02-15;Viva Wallet Card Purchase - St1 Gillbergaplan;;;;640,00;-101 915,55
;A 190;2025-02-16;Viva Wallet Card Purchase - BILTEMA ESKILSTUNA;;;;891,00;-102 806,55
;A 191;2025-02-16;Viva Cashback;;;2,00;;-102 804,55
;A 188;2025-02-17;Viva Wallet Card Purchase - WILLYS ESKILSTUNA C;;;;1 573,00;-104 377,55
;A 189;2025-02-17;Viva Cashback;;;4,00;;-104 373,55
;A 185;2025-02-18;Viva Wallet Card Purchase - CLAS OHLSON;;;;69,00;-104 442,55
;A 186;2025-02-18;Viva Wallet Card Purchase - SHOPIFY* 330742565;;;;470,00;-104 912,55
;A 187;2025-02-18;Viva Cashback;;;7,00;;-104 905,55
;A 183;2025-02-19;Billing Fee - Foreign Currency Fee for Transaction Amount 41.72 EUR (2025-02-18);;;;14,00;-104 919,55
;A 184;2025-02-19;Viva Cashback;;;2,00;;-104 917,55
;A 182;2025-02-20;Viva Wallet Card Purchase - ARAN FOOD AB;;;;1 145,00;-106 062,55
;A 181;2025-02-21;Viva Cashback;;;5,00;;-106 057,55
;A 180;2025-02-28;Billing Fee - In-Person Default (2025-01-31 - 2025-02-27);;;;58,00;-106 115,55
;A 179;2025-03-01;Viva Wallet Card Purchase - TikTok Ads;;;;58,00;-106 173,55
;A 342;2025-03-29;Money out to IBAN - SE6230000000030860059626;;;;68,00;-106 241,55
;A 457;2025-06-26;Viva Wallet Card Payments;;;106 241,00;;-0,55
;;;"""Utgående saldo:""";;0,00;109 925,64;109 926,19;-0,55
;;;;;;;;
1942 Wise USD;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 410;2024-12-10;Converted 124,000.00 SEK to 11,241.24 USD;;;124 000,00;;124 000,00
;A 426;2024-12-10;Sent money to FUTURE WORLD TECH;;;;124 440,54;-440,54
;A 425;2024-12-11;Converted 12,800.00 GBP to 16,270.93 USD;;;177 920,00;;177 479,46
;A 423;2024-12-12;Sent money to FUTURE WORLD TECH;;;;276 750,00;-99 270,54
;A 424;2024-12-12;Converted 16,400.00 GBP to 20,888.12 USD;;;227 960,00;;128 689,46
;A 422;2024-12-17;Sent money to FUTURE WORLD TECH;;;;134 600,68;-5 911,22
;A 421;2025-01-07;Balance cashback;;;45,83;;-5 865,39
;A 419;2025-01-14;Sent money to FUTURE WORLD TECH;;;;110 859,71;-116 725,10
;A 420;2025-01-14;Converted 8,234.00 GBP to 10,015.78 USD;;;114 452,60;;-2 272,50
;A 418;2025-02-12;Card transaction Clas Ohlson;;;;61,10;-2 333,60
;A 365;2025-04-07;Converted 2,000.00 SEK to 196.96 USD;;;2 000,00;;-333,60
;A 367;2025-04-07;Converted 484.42 SEK to 47.79 USD;;;484,42;;150,82
;A 415;2025-04-07;Sent money to ahmed gheyath al-sharif;;;;2 180,35;-2 029,53
;A 416;2025-04-07;Converted 34.20 EUR to 37.28 USD;;;410,40;;-1 619,13
;A 417;2025-04-07;Sent money to ahmed gheyath al-sharif;;;;941,72;-2 560,85
;A 344;2025-06-16;Converted 1,635.80 SEK to 172.13 USD;;;1 635,80;;-925,05
;A 414;2025-06-16;Sent money to ahmed gheyath al-sharif;;;;1 106,70;-2 031,75
;A 755;2025-07-01;Google Cloud SEK card purchase - Wise USD;;;;172,81;-2 204,56
;A 754;2025-07-15;Shopify EUR card purchase - Wise USD;;;;398,01;-2 602,57
;A 756;2025-09-22;SEK to USD conversion - Wise platform;;;9 602,44;;6 999,87
;A 757;2025-09-22;Transfer payment from Wise USD account;;;;9 426,49;-2 426,62
;A 776;2025-10-02;Hallon USD 9.40 USD kurs 9.35988;;;;88,00;-2 514,62
;A 783;2025-10-10;SEK till USD 2870 SEK kurs 0.105;;;2 857,14;;342,52
;A 784;2025-10-10;Loan repayment USD 320.00 USD;;;;2 944,00;-2 601,48
;A 804;2025-11-25;Booking.com USD 0.98 USD;;;;9,02;-2 610,50
;A 817;2025-12-08;EUR till USD 465.94 EUR kurs 1.1651;;;5 355,62;;2 745,12
;A 818;2025-12-09;SEK till USD 15546 SEK kurs 0.10707;;;15 437,54;;18 182,66
;A 819;2025-12-11;Beijing mat USD 75.61 USD kurs 7.0621 CNY;;;;702,23;17 480,43
;A 820;2025-12-11;Malardalstrafik USD 79.49 USD kurs 9.23423;;;;735,49;16 744,94
;A 822;2025-12-12;Circle K drivmedel USD 67.13 USD kurs 9.28897;;;;624,65;16 120,29
;A 823;2025-12-12;Fadushka mat USD 2.16 USD kurs 9.27977;;;;20,07;16 100,22
;A 827;2025-12-17;Shopify avgift USD 32.95 USD kurs 0.85346;;;;303,60;15 796,62
;A 828;2025-12-17;Loan repayment USD 225.96 USD kurs 9.33791;;;;2 114,00;13 682,62
;A 829;2025-12-19;One.com USD 13.75 USD kurs 9.31722;;;;128,48;13 554,14
;A 830;2025-12-24;Bolagsverket USD 240.06 USD kurs 9.16446;;;;2 204,70;11 349,44
;A 831;2025-12-24;PRV registrering USD 294.43 USD kurs 9.17034;;;;2 705,72;8 643,72
;A 832;2025-12-25;TikTok Ads USD 179.76 USD kurs 9.17929;;;;1 653,36;6 990,36
;A 833;2025-12-25;Loan repayment USD 205.02 USD kurs 9.17442;;;;1 884,80;5 105,56
;A 834;2025-12-25;Loan repayment USD 7.49 USD kurs 9.17442;;;;68,82;5 036,74
;A 835;2025-12-25;Loan repayment USD 63.11 USD kurs 9.17442;;;;580,23;4 456,51
;A 837;2025-12-29;EUR till USD 86.47 EUR kurs 1.1762;;;994,40;;5 450,91
;A 838;2025-12-29;St1 drivmedel USD 96.07 USD kurs 9.17915;;;;883,49;4 567,42
;A 839;2025-12-30;TikTok Ads USD 152.94 USD kurs 9.19322;;;;1 408,98;3 158,44
;A 840;2025-12-31;TikTok Ads USD 152.46 USD kurs 9.22201;;;;1 408,54;1 749,90
;;;"""Utgående saldo:""";;0,00;683 156,19;681 406,29;1 749,90
;;;;;;;;
1943 Wise GBP;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 425;2024-12-11;Converted 12,800.00 GBP to 16,270.93 USD;;;;177 920,00;-177 920,00
;A 453;2024-12-11;Received money from ahmed gheyath;;;177 920,00;;0,00
;A 424;2024-12-12;Converted 16,400.00 GBP to 20,888.12 USD;;;;227 960,00;-227 960,00
;A 451;2024-12-12;Received money from MOHAMMAD SAMI;;;133 440,00;;-94 520,00
;A 452;2024-12-12;Received money from MOHAMMAD SAMI;;;94 520,00;;0,00
;A 450;2025-01-09;Received money from ahmed gheyath;;;68 110,00;;68 110,00
;A 420;2025-01-14;Converted 8,234.00 GBP to 10,015.78 USD;;;;114 452,60;-46 342,60
;A 448;2025-01-14;Received money from MOHAMMAD SAMI;;;139,83;;-46 202,77
;A 449;2025-01-14;Received money from MOHAMMAD SAMI;;;50 253,92;;4 051,15
;A 447;2025-01-17;Received money from ahmed gheyath;;;57 101,20;;61 152,35
;A 446;2025-01-21;Received money from ahmed gheyath;;;27 841,70;;88 994,05
;A 407;2025-01-27;Converted 1,000.00 GBP to 13,639.88 SEK;;;;13 639,88;75 354,17
;A 445;2025-01-27;Card transaction Back Market;;;;2 679,64;72 674,53
;A 444;2025-02-03;Card refund Back Market;;;2 679,64;;75 354,17
;A 443;2025-02-06;Balance cashback;;;85,90;;75 440,07
;A 403;2025-02-11;Converted 100.00 GBP to 1,345.85 SEK;;;;1 345,85;74 094,22
;A 405;2025-02-11;Converted 3,500.00 GBP to 47,065.87 SEK;;;;47 065,87;27 028,35
;A 398;2025-02-12;Converted 1,801.68 GBP to 24,302.42 SEK;;;;24 302,42;2 725,93
;A 442;2025-02-12;Card transaction Clas Ohlson;;;;96,61;2 629,32
;A 441;2025-03-05;Balance cashback;;;41,42;;2 670,74
;A 440;2025-03-12;Card transaction Shopify;;;;41,42;2 629,32
;A 352;2025-05-13;Converted 10,492.27 SEK to 811.05 GBP;;;10 492,27;;13 121,59
;A 439;2025-05-13;Sent money to ahmed gheyath al-sharif;;;;11 273,60;1 847,99
;;;"""Utgående saldo:""";;0,00;622 625,88;620 777,89;1 847,99
;;;;;;;;
1944 Wise EUR;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 408;2025-01-04;Converted 100.00 SEK to 8.69 EUR;;;100,00;;100,00
;A 438;2025-01-07;Received money from STRIPE;;;1 049,04;;1 149,04
;A 437;2025-01-10;Received money from STRIPE;;;1 951,92;;3 100,96
;A 436;2025-01-13;Paid to Shopify;;;;1 043,04;2 057,92
;A 435;2025-01-24;Received money from STRIPE;;;637,68;;2 695,60
;A 434;2025-02-06;Balance cashback;;;1,80;;2 697,40
;A 433;2025-02-07;Received money from STRIPE;;;3 915,84;;6 613,24
;A 397;2025-02-12;Converted 551.46 EUR to 6,203.22 SEK;;;;6 203,22;410,02
;A 432;2025-03-05;Balance cashback;;;1,32;;411,34
;A 431;2025-03-12;Card transaction Shopify;;;;1,32;410,02
;A 430;2025-04-04;Received money from STRIPE;;;1 716,60;;2 126,62
;A 428;2025-04-05;Card transaction Ryanair;;;;813,84;1 312,78
;A 429;2025-04-05;Card transaction Pegasus;;;;492,36;820,42
;A 416;2025-04-07;Converted 34.20 EUR to 37.28 USD;;;;410,40;410,02
;A 345;2025-06-16;Converted 1,925.67 SEK to 175.00 EUR;;;1 925,67;;2 335,69
;A 427;2025-06-16;Sent money to Mohammad Alsharef;;;;2 100,00;235,69
;A 777;2025-10-03;Shopify EUR inbetalning 103.75 EUR;;;1 193,13;;1 428,82
;A 780;2025-10-06;EUR till TRY 124.81 EUR kurs 48.6857;;;;1 436,55;-7,73
